Дата,Программа,Упражнение,Подход,"Вес, кг",Повторения
09.09.2026,День 3 - Ноги + Плечи,Жим ногами,4,70,12
09.09.2026,День 3 - Ноги + Плечи,Разгибание ног сидя,1,40,15
09.09.2026,День 3 - Ноги + Плечи,Разгибание ног сидя,2,40,15
09.09.2026,День 3 - Ноги + Плечи,Разгибание ног сидя,3,40,15
09.09.2026,День 3 - Ноги + Плечи,Разгибание ног сидя,4,40,15
09.09.2026,День 3 - Ноги + Плечи,Сгибание ног сидя,1,36,20
09.09.2026,День 3 - Ноги + Плечи,Сгибание ног сидя,2,36,20
09.09.2026,День 3 - Ноги + Плечи,Сгибание ног сидя,3,36,20
09.09.2026,День 3 - Ноги + Плечи,Сгибание ног сидя,4,36,20
09.09.2026,День 3 - Ноги + Плечи,Жим гантелей сидя,1,15,12
09.09.2026,День 3 - Ноги + Плечи,Жим гантелей сидя,2,15,12
09.09.2026,День 3 - Ноги + Плечи,Жим гантелей сидя,3,15,12
09.09.2026,День 3 - Ноги + Плечи,Жим гантелей сидя,4,15,12
09.09.2026,День 3 - Ноги + Плечи,Разведения гантелей в стороны,1,7.5,12
09.09.2026,День 3 - Ноги + Плечи,Разведения гантелей в стороны,2,7.5,12
09.09.2026,День 3 - Ноги + Плечи,Разведения гантелей в стороны,3,7.5,12
09.09.2026,День 3 - Ноги + Плечи,Разведения гантелей в стороны,4,7.5,12
09.09.2026,День 3 - Ноги + Плечи,Обратная бабочка,1,32,12
09.09.2026,День 3 - Ноги + Плечи,Обратная бабочка,2,32,12
09.09.2026,День 3 - Ноги + Плечи,Обратная бабочка,3,32,12
09.09.2026,День 3 - Ноги + Плечи,Обратная бабочка,4,32,12
10.09.2026,День 4 - Грудь + Спина,Жим гантелей под углом 30°,1,18,12
10.09.2026,День 4 - Грудь + Спина,Жим гантелей под углом 30°,2,18,12
10.09.2026,День 4 - Грудь + Спина,Жим гантелей под углом 30°,3,18,12
10.09.2026,День 4 - Грудь + Спина,Жим гантелей под углом 30°,4,20,12
10.09.2026,День 4 - Грудь + Спина,Сведение рук в тренажере,1,39,12
10.09.2026,День 4 - Грудь + Спина,Сведение рук в тренажере,2,39,12
10.09.2026,День 4 - Грудь + Спина,Сведение рук в тренажере,3,39,12
10.09.2026,День 4 - Грудь + Спина,Сведение рук в тренажере,4,39,12
10.09.2026,День 4 - Грудь + Спина,Тяга верхнего блока V хватом,1,45,12
10.09.2026,День 4 - Грудь + Спина,Тяга верхнего блока V хватом,2,45,12
10.09.2026,День 4 - Грудь + Спина,Тяга верхнего блока V хватом,3,45,12
10.09.2026,День 4 - Грудь + Спина,Тяга верхнего блока V хватом,4,45,12
10.09.2026,День 4 - Грудь + Спина,Тяга горизонтального блока (другая рокоять),1,35,12
10.09.2026,День 4 - Грудь + Спина,Тяга горизонтального блока (другая рокоять),2,35,12
10.09.2026,День 4 - Грудь + Спина,Тяга горизонтального блока (другая рокоять),3,35,12
10.09.2026,День 4 - Грудь + Спина,Тяга горизонтального блока (другая рокоять),4,35,12
10.09.2026,День 4 - Грудь + Спина,Тяга нижнего блока одной рукой,1,15,12
10.09.2026,День 4 - Грудь + Спина,Тяга нижнего блока одной рукой,2,15,12
10.09.2026,День 4 - Грудь + Спина,Тяга нижнего блока одной рукой,3,15,12
10.09.2026,День 4 - Грудь + Спина,Тяга нижнего блока одной рукой,4,15,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разведения гантелей в стороны,1,10,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разведения гантелей в стороны,2,10,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разведения гантелей в стороны,3,10,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разведения гантелей в стороны,4,10,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Обратная бабочка,1,39,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Обратная бабочка,2,39,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Обратная бабочка,3,39,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Обратная бабочка,4,39,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Подьем гантелей на бицепс на наклонной скамье,1,10,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Подьем гантелей на бицепс на наклонной скамье,2,10,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Подьем гантелей на бицепс на наклонной скамье,3,10,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Подьем гантелей на бицепс на наклонной скамье,4,10,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Молотки,1,12.5,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Молотки,2,12.5,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Молотки,3,12.5,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Молотки,4,12.5,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Сгибание рук на бицепс в тренажере,1,18,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Сгибание рук на бицепс в тренажере,2,18,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Сгибание рук на бицепс в тренажере,3,18,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Сгибание рук на бицепс в тренажере,4,18,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разгибание гантели из-за головы,1,22.5,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разгибание гантели из-за головы,2,22.5,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разгибание гантели из-за головы,3,22.5,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разгибание гантели из-за головы,4,22.5,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разгибание рук на блоке с прямой рукоятью,1,45,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разгибание рук на блоке с прямой рукоятью,2,50,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разгибание рук на блоке с прямой рукоятью,3,55,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Разгибание рук на блоке с прямой рукоятью,4,55,12
11.09.2026,День 5 - Плечи + Руки + Ноги,Сгибание ног сидя,1,40,15
11.09.2026,День 5 - Плечи + Руки + Ноги,Сгибание ног сидя,2,45,15
11.09.2026,День 5 - Плечи + Руки + Ноги,Сгибание ног сидя,3,50,15
11.09.2026,День 5 - Плечи + Руки + Ноги,Сгибание ног сидя,4,50,15
14.09.2026,День 1 - Грудь + Трицепс,Жим штанги лежа,1,50,12
14.09.2026,День 1 - Грудь + Трицепс,Жим штанги лежа,2,50,12
14.09.2026,День 1 - Грудь + Трицепс,Жим штанги лежа,3,50,12
14.09.2026,День 1 - Грудь + Трицепс,Жим штанги лежа,4,60,10
14.09.2026,День 1 - Грудь + Трицепс,Жим гантелей под углом 30-40°,1,16,12
14.09.2026,День 1 - Грудь + Трицепс,Жим гантелей под углом 30-40°,2,16,12
14.09.2026,День 1 - Грудь + Трицепс,Жим гантелей под углом 30-40°,3,16,12
14.09.2026,День 1 - Грудь + Трицепс,Жим гантелей под углом 30-40°,4,16,12
14.09.2026,День 1 - Грудь + Трицепс,Сведение рук в тренажере,1,39,12
14.09.2026,День 1 - Грудь + Трицепс,Сведение рук в тренажере,2,39,12
14.09.2026,День 1 - Грудь + Трицепс,Сведение рук в тренажере,3,39,12
14.09.2026,День 1 - Грудь + Трицепс,Сведение рук в тренажере,4,39,12
14.09.2026,День 1 - Грудь + Трицепс,Разгибание гантели из-за головы,1,22.5,12
14.09.2026,День 1 - Грудь + Трицепс,Разгибание гантели из-за головы,2,22.5,12
14.09.2026,День 1 - Грудь + Трицепс,Разгибание гантели из-за головы,3,22.5,12
14.09.2026,День 1 - Грудь + Трицепс,Разгибание гантели из-за головы,4,22.5,12
14.09.2026,День 1 - Грудь + Трицепс,Разгибание рук на блоке с прямой канатом,1,30,12
14.09.2026,День 1 - Грудь + Трицепс,Разгибание рук на блоке с прямой канатом,2,30,12
14.09.2026,День 1 - Грудь + Трицепс,Разгибание рук на блоке с прямой канатом,3,30,12
14.09.2026,День 1 - Грудь + Трицепс,Разгибание рук на блоке с прямой канатом,4,30,12
15.09.2026,День 2 - Спина + Бицепс,Тяга верхнего блока широким хватом к груди,1,40,12
15.09.2026,День 2 - Спина + Бицепс,Тяга верхнего блока широким хватом к груди,2,45,12
15.09.2026,День 2 - Спина + Бицепс,Тяга верхнего блока широким хватом к груди,3,45,12
15.09.2026,День 2 - Спина + Бицепс,Тяга верхнего блока широким хватом к груди,4,50,12
15.09.2026,День 2 - Спина + Бицепс,Тяга горизонтального блока с V-образной рукоятью,1,35,12
15.09.2026,День 2 - Спина + Бицепс,Тяга горизонтального блока с V-образной рукоятью,2,35,12
15.09.2026,День 2 - Спина + Бицепс,Тяга горизонтального блока с V-образной рукоятью,3,35,12
15.09.2026,День 2 - Спина + Бицепс,Тяга горизонтального блока с V-образной рукоятью,4,35,12
15.09.2026,День 2 - Спина + Бицепс,Тяга нижнего блока одной рукой,1,15,12
15.09.2026,День 2 - Спина + Бицепс,Тяга нижнего блока одной рукой,2,15,12
15.09.2026,День 2 - Спина + Бицепс,Тяга нижнего блока одной рукой,3,15,12
15.09.2026,День 2 - Спина + Бицепс,Тяга нижнего блока одной рукой,4,20,12
15.09.2026,День 2 - Спина + Бицепс,Подьем штанги на бицепс стоя,1,12,12
15.09.2026,День 2 - Спина + Бицепс,Подьем штанги на бицепс стоя,2,12,12
15.09.2026,День 2 - Спина + Бицепс,Подьем штанги на бицепс стоя,3,12,12
15.09.2026,День 2 - Спина + Бицепс,Подьем штанги на бицепс стоя,4,17,12
15.09.2026,День 2 - Спина + Бицепс,Сгибание рук на бицепс в тренажере,1,18,12
15.09.2026,День 2 - Спина + Бицепс,Сгибание рук на бицепс в тренажере,2,18,12
15.09.2026,День 2 - Спина + Бицепс,Сгибание рук на бицепс в тренажере,3,18,12
15.09.2026,День 2 - Спина + Бицепс,Сгибание рук на бицепс в тренажере,4,18,12
15.09.2026,День 2 - Спина + Бицепс,Молотки,1,12.5,12
15.09.2026,День 2 - Спина + Бицепс,Молотки,2,12.5,12
15.09.2026,День 2 - Спина + Бицепс,Молотки,3,12.5,12
15.09.2026,День 2 - Спина + Бицепс,Молотки,4,12.5,12
